Part Number,Model,Part Description,Product Description,NZD MSRP,R4 - BUY
78-80011190,KAC-BAR-81,KAC-BAR-81(RXV81),Kramer Audiocode KAC-BAR-81 MTR video bar Standalone with remote control included,"$2,084.75","$1,490.59"
SV-EW-000043,KAC-BAR-81 1 YEAR-SUPPORT,KAC-BAR-81(RXV81)-1-YEAR-SUPPORT,"KAC-BAR-81(RXV81)-1-YEAR-SUPPORT  9am-5pm email/phone, replace/repair service, firmware upgrades.",$184.75,$152.42
SV-EW-000044,KAC-BAR-81 3 YEAR-SUPPORT,KAC-BAR-81(RXV81)-3-YEAR-SUPPORT,"KAC-BAR-81(RXV81)-3-YEAR-SUPPORT  9am-5pm email/phone, replace/repair service, firmware upgrades.",$472.88,$390.13
78-80012190,KAC-BAR-81-B10,KAC-BAR-81-B10(RXV81+RX-PAD),Kramer Audiocode KAC-BAR-81-B10 Bundle of certified Microsoft Teams Rooms video-bar with MTR certified Touch screen room controller,"$2,884.75","$2,062.59"
SV-EW-000024,KAC-BAR-81-B10-1-YEAR-SUPPORT,KAC-BAR-81-B10-1-YEAR-SUPPORT,"KAC-BAR-81-B10-1-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.",$269.49,$222.33
SV-EW-000035,KAC-BAR-81-B10-3-YEAR-SUPPORT,KAC-BAR-81-B10-3-YEAR-SUPPORT,"KAC-BAR-81-B10-3-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.",$659.32,$543.94
78-80012690,KAC-CAM-360,KAC-CAM-360(RXVCam360),Kramer Audiocode All-in-one 360ş video conferencing camera with 4 x lenses 4K 4M pixels and 8W speaker and microphones system,"$1,949.15","$1,393.64"
SV-EW-000049,KAC-CAM-360-1-YEAR-SUPPORT,KAC-CAM-360-1-YEAR-SUPPORT,"KAC-CAM-360-1-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.",$150.85,$124.45
SV-EW-000050,KAC-CAM-360-3-YEAR-SUPPORT,KAC-CAM-360-3-YEAR-SUPPORT,"KAC-CAM-360-3-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.",$337.29,$278.26
78-80011490,KAC-CAM-50M,KAC-CAM-50M(RXVCam50),Kramer Audiocode 4K KAC-CAM-50M camera intended medium and small conference and meeting rooms,$959.32,$685.92
SV-EW-000017,KAC-CAM-50M-1-YEAR-SUPPORT,KAC-CAM-50M-1-YEAR-SUPPORT,"KAC-CAM-50M-1-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.",$83.05,$68.52
SV-EW-000028,KAC-CAM-50M-3-YEAR-SUPPORT,KAC-CAM-50M-3-YEAR-SUPPORT,"KAC-CAM-50M-3-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.",$218.64,$180.38
78-80012590,KAC-CAM-70,KAC-CAM-70(RXVCam70),Kramer Audiocode KAC-CAM-70 4K camera intended for large conference and meeting rooms,"$3,703.39","$2,647.92"
SV-EW-000041,KAC-CAM-70 1 YEAR-SUPPORT,KAC-CAM-70(RXVCam70)-1-YEAR-SUPPORT,"KAC-CAM-70(RXVCam70)-1-YEAR-SUPPORT  9am-5pm email/phone, replace/repair service, firmware upgrades.",$286.44,$236.31
SV-EW-000042,KAC-CAM-70 3 YEAR-SUPPORT,KAC-CAM-70(RXVCam70)-3-YEAR-SUPPORT,"KAC-CAM-70(RXVCam70)-3-YEAR-SUPPORT  9am-5pm email/phone, replace/repair service, firmware upgrades.",$693.22,$571.91
78-80011990,KAC-CAM-CC-10,KAC-CAM-CC-10(RXVCam10),Kramer Audiocode KAC-CAM-CC-10 Whiteboard content camera,$559.32,$399.92
SV-EW-000022,KAC-CAM-CC-10-1-YEAR-SUPPORT,KAC-CAM-CC-10-1-YEAR-SUPPORT,"KAC-CAM-CC-10-1-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.",$49.15,$40.55
SV-EW-000033,KAC-CAM-CC-10-3-YEAR-SUPPORT,KAC-CAM-CC-10-3-YEAR-SUPPORT,"KAC-CAM-CC-10-3-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.",$127.12,$104.87
KAC-CU-200-B70 BUNDLE,KAC-CU-200-B70 BUNDLE,KAC-CU-200-B70 BUNDLE,Kramer Audiocode KAC-CU-200-B70 MTR BUNDLE,"$8,811.86","$6,300.48"
SV-EW-000045,KAC-CU 200 B70 1 YEAR SUPPORT,KAC-CU-200-B70-1-YEAR-SUPPORT,"KAC-CU-200-B70-1-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.",$777.97,$641.82
SV-EW-000046,KAC-CU 200 B70 3 YEAR SUPPORT,KAC-CU-200-B70-3-YEAR-SUPPORT,"KAC-CU-200-B70-3-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.","$1,896.61","$1,564.70"
78-80012290,KAC-CU-200-B05,KAC-CU-200-B05(RXV200-1+RX-PAD),Bundle of certified Microsoft Teams Rooms compute device with MTR certified Touch screen room controller.,"$3,847.46","$2,750.93"
SV-EW-000025,KAC-CU-200-B05-1-YEAR-SUPPORT,KAC-CU-200-B05-1-YEAR-SUPPORT,"KAC-CU-200-B05-1-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.",$388.14,$320.21
SV-EW-000036,KAC-CU-200-B05-3-YEAR-SUPPORT,KAC-CU-200-B05-3-YEAR-SUPPORT,"KAC-CU-200-B05-3-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.",$947.46,$781.65
KAC-CU-200-B20 BUNDLE,KAC-CU-200-B20 BUNDLE,KAC-CU-200-B20 BUNDLE,Kramer Audiocode KAC-CU-200-B20 MTR BUNDLE,"$5,252.54","$3,755.57"
SV-EW-000026,KAC-CU-200-B20-1-YEAR-SUPPORT,KAC-CU-200-B20-1-YEAR-SUPPORT,"KAC-CU-200-B20-1-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.",$455.93,$376.14
SV-EW-000037,KAC-CU-200-B20-3-YEAR-SUPPORT,KAC-CU-200-B20-3-YEAR-SUPPORT,"KAC-CU-200-B20-3-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.","$1,083.05",$893.52
KAC-CU-200-B360 BUNDLE,KAC-CU-200-B360 BUNDLE,KAC-CU-200-B360 BUNDLE,Kramer Audiocode KAC-CU-200-B360 MTR BUNDLE,"$5,506.78","$3,937.35"
SV-EW-000051,KAC-CU-200-B360-1-YEAR-SUPPORT,KAC-CU-200-B360-1-YEAR-SUPPORT,"KAC-CU-200-B360-1-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.",$489.83,$404.11
SV-EW-000052,KAC-CU-200-B360-3-YEAR-SUPPORT,KAC-CU-200-B360-3-YEAR-SUPPORT,"KAC-CU-200-B360-3-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.","$1,184.75",$977.42
KAC-CU-200-B40 BUNDLE,KAC-CU-200-B40 BUNDLE,KAC-CU-200-B40 BUNDLE,Kramer Audiocode KAC-CU-200-B40 MTR BUNDLE,"$6,777.97","$4,846.25"
SV-EW-000027,KAC-CU-200-B40-1-YEAR-SUPPORT,KAC-CU-200-B40-1-YEAR-SUPPORT,"KAC-CU-200-B40-1-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.",$591.53,$488.01
SV-EW-000038,KAC-CU-200-B40-3-YEAR-SUPPORT,KAC-CU-200-B40-3-YEAR-SUPPORT,"KAC-CU-200-B40-3-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.","$1,422.03","$1,173.18"
78-80011790,KAC-SCD-10,KAC-SCD-10(RX-PANEL),Kramer Audiocode KAC-SCD-10 Meeting room scheduler,$881.36,$630.17
SV-EW-000020,KAC-SCD-10-1-YEAR-SUPPORT,KAC-SCD-10-1-YEAR-SUPPORT,"KAC-SCD-10-1-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.",$83.05,$68.52
SV-EW-000031,KAC-SCD-10-3-YEAR-SUPPORT,KAC-SCD-10-3-YEAR-SUPPORT,"KAC-SCD-10-3-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.",$201.69,$166.40
78-80011690,KAC-SPK-15,KAC-SPK-15(RX15),Kramer Audiocode KAC-SPK-15 Speakerphone,$508.47,$363.56
SV-EW-000019,KAC-SPK-15-1-YEAR-SUPPORT,KAC-SPK-15-1-YEAR-SUPPORT,"KAC-SPK-15-1-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.",$32.20,$26.57
SV-EW-000030,KAC-SPK-15-3-YEAR-SUPPORT,KAC-SPK-15-3-YEAR-SUPPORT,"KAC-SPK-15-3-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.",$83.05,$68.52
78-80012090,KAC-SPK-40,KAC-SPK-40(RX40),Kramer Audiocode KAC-SPK-40 USB-powered Audio bar with two satellite microphones,"$1,762.71","$1,260.34"
SV-EW-000023,KAC-SPK-40-1-YEAR-SUPPORT,KAC-SPK-40-1-YEAR-SUPPORT,"KAC-SPK-40-1-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.",$167.80,$138.43
SV-EW-000034,KAC-SPK-40-3-YEAR-SUPPORT,KAC-SPK-40-3-YEAR-SUPPORT,"KAC-SPK-40-3-YEAR-SUPPORT 9am-5pm email/phone, replace/repair service, firmware upgrades.",$388.14,$320.21
